address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"100 BLOCK E CARSON ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,8,3,South Side Flats,3,17,42003170200,3,3,24-Apr,40.42856848,-79.98764937
"100 BLOCK E CARSON ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2017,4,4,South Side Flats,3,17,42003170200,3,3,24-Apr,40.42856848,-79.98764937
"<100 BLOCK EDITH PL PITTSBURGH, PA 15213",1,0,0,1,0,0,2015,6,2,South Oakland,3,4,42003040900,3,4,11-Feb,40.43313733,-79.95488765
"<100 BLOCK ELMONT ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2017,5,6,Crafton Heights,2,28,42003281500,5,6,18-Jan,40.43920886,-80.05586031
"100 BLOCK ELMONT ST PITTSBURGH, PA 15205",2,0,1,0,0,1,2019,9,2,,,,,,6,,,
"<100 BLOCK ELMORE ST PITTSBURGH, PA 15219",1,0,0,1,0,0,2015,3,5,Middle Hill,6,5,42003050100,3,2,1-Feb,40.44672021,-79.97870183
"100 BLOCK E MC INTYRE AVE PITTSBURGH, PA 15214",1,0,1,0,0,0,2015,7,0,Perry South,6,26,42003261400,1,1,12-Jan,40.46853896,-80.01178852
"100 BLOCK ENTERPRISE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2019,8,1,,,,,,5,,,
"100 BLOCK ENTERPRISE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,7,0,,,,,,5,,,
"100 BLOCK ENTERPRISE ST PITTSBURGH, PA 15206",2,0,2,0,0,0,2015,6,4,,,,,,5,,,
"100 BLOCK ENTERPRISE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2017,3,6,,,,,,5,,,
"100 BLOCK ENTERPRISE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2017,4,3,,,,,,5,,,
"100 BLOCK ESTELLA AVE PITTSBURGH, PA 15211",1,0,1,0,0,0,2017,3,2,Mount Washington,3,18,42003180700,5,3,5-Apr,40.42216892,-80.00094995
"100 BLOCK ESTELLA AVE PITTSBURGH, PA 15211",1,0,1,0,0,0,2017,4,5,Mount Washington,3,18,42003180700,5,3,5-Apr,40.42216892,-80.00094995
"100 BLOCK FINLEY ST PITTSBURGH, PA 15206",2,0,0,2,0,0,2017,1,1,Larimer,9,12,42003120800,2,5,10-Mar,40.45917121,-79.90989176
"100 BLOCK FLOWERS AVE PITTSBURGH, PA 15207",1,0,1,0,0,0,2019,10,2,,,,,,4,,,
"100 BLOCK FLOWERS AVE PITTSBURGH, PA 15207",1,0,1,0,0,0,2015,12,2,,,,,,4,,,
"100 BLOCK FOUNTAIN ST PITTSBURGH, PA 15212",3,0,2,1,0,0,2018,3,6,Fineview,1,25,42003250900,1,1,10-Jan,40.4587586,-80.00193041
"100 BLOCK FOUNTAIN ST PITTSBURGH, PA 15212",1,0,0,0,0,1,2015,1,5,Fineview,1,25,42003250900,1,1,10-Jan,40.4587586,-80.00193041
"100 BLOCK FOUNTAIN ST PITTSBURGH, PA 15212",3,0,3,0,0,0,2016,9,2,Fineview,1,25,42003250900,1,1,10-Jan,40.4587586,-80.00193041
"100 BLOCK FURLEY ST PITTSBURGH, PA 15220",1,0,0,0,0,1,2017,8,0,Elliott,2,20,42003562600,5,6,17-Jan,40.4425051,-80.03810789
"100 BLOCK GARETTA ST PITTSBURGH, PA 15217",2,0,1,1,0,0,2019,1,2,,,,,,4,,,
"100 BLOCK GARETTA ST PITTSBURGH, PA 15217",2,0,1,1,0,0,2019,1,2,,,,,,4,,,
"<100 BLOCK GILFORD CT PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,5,3,,,,,,5,,,
"100 BLOCK GRAPE ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2018,8,0,,,,,,3,,,
"100 BLOCK GRASMERE ST PITTSBURGH, PA 15205",1,0,0,0,0,1,2016,11,2,Oakwood,2,28,42003562800,5,6,19-Jan,40.42804891,-80.06550891
"<100 BLOCK GREENBUSH ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2019,11,4,Mount Washington,2,19,42003191400,5,3,27-Apr,40.42851639,-80.00642898
"100 BLOCK GREENBUSH ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2018,4,3,,,,,,3,,,
"100 BLOCK GREGORY ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2020,2,1,,,,,,3,,,
"100 BLOCK GREGORY ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2020,2,0,,,,,,3,,,
"100 BLOCK HARWOOD WAY PITTSBURGH, PA 15211",2,0,0,2,0,0,2019,11,5,,,,,,3,,,
"100 BLOCK HAWKINS ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2015,8,6,,,,,,1,,,
"100 BLOCK HAZLETT ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2019,5,1,Northview Heights,1,26,42003260900,1,1,13-Jan,40.47712209,-80.00164753
"100 BLOCK HAZLETT ST PITTSBURGH, PA 15214",4,0,4,0,0,0,2016,11,3,Northview Heights,1,26,42003260900,1,1,13-Jan,40.47712209,-80.00164753
"100 BLOCK HAZLETT ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2019,9,1,Northview Heights,1,26,42003260900,1,1,13-Jan,40.47712209,-80.00164753
"100 BLOCK HILLSON AVE PITTSBURGH, PA 15227",2,0,1,0,0,1,2020,3,3,,,,42003478100,,OSC,,40.37502283,-79.97734719
"100 BLOCK HOLT ST PITTSBURGH, PA 15203",3,0,2,0,0,1,2017,3,5,Marshall-Shadeland,1,27,42003271500,1,1,14-Jan,40.47674862,-80.02821564
"<100 BLOCK INDUSTRY ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2017,8,1,Beltzhoover,3,18,42003562400,5,3,21-Apr,40.42062871,-79.9997109
"<100 BLOCK INDUSTRY ST PITTSBURGH, PA 15210",2,0,1,0,1,0,2015,1,4,Beltzhoover,3,18,42003562400,5,3,21-Apr,40.42062871,-79.9997109
"100 BLOCK INDUSTRY ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2018,2,6,Beltzhoover,3,18,42003562400,5,3,16-Apr,40.41962698,-80.00589392
"100 BLOCK JUCUNDA ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2020,1,2,,,,,,3,,,
"<100 BLOCK KENWOOD AVE PITTSBURGH, PA 15214",1,0,0,1,0,0,2019,2,5,Perry South,6,26,42003261400,1,1,12-Jan,40.46951183,-80.00861796
"100 BLOCK KIRK AVE PITTSBURGH, PA 15210",2,0,1,0,0,1,2015,3,4,,,,,,3,,,
"100 BLOCK KNOX AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,5,1,Knoxville,3,30,42003300100,5,3,6-Apr,40.41557251,-79.99058775
"100 BLOCK KNOX AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2017,10,2,Knoxville,3,30,42003300100,5,3,6-Apr,40.41557251,-79.99058775
"100 BLOCK LACLEDE ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2018,3,0,Mount Washington,3,18,42003180700,5,3,5-Apr,40.42380757,-80.00315249
"100 BLOCK LACLEDE ST PITTSBURGH, PA 15211",6,0,4,2,0,0,2016,11,4,Mount Washington,3,18,42003180700,5,3,5-Apr,40.42380757,-80.00315249
"100 BLOCK LACLEDE ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2015,9,2,Mount Washington,3,18,42003180700,5,3,5-Apr,40.42380757,-80.00315249
"<100 BLOCK LECKY AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,12,3,Marshall-Shadeland,1,27,42003271500,1,1,14-Jan,40.4733859,-80.03508936
"100 BLOCK LECKY AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2020,7,6,Marshall-Shadeland,1,27,42003271500,1,1,14-Jan,40.47573939,-80.0336079
"<100 BLOCK LEDLIE ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,10,4,Bedford Dwellings,6,5,42003030500,3,2,1-Feb,40.44740285,-79.98345859
"<100 BLOCK LELIA ST PITTSBURGH, PA 15211",2,0,1,1,0,0,2018,3,2,Spring Hill-City View,1,26,42003262000,1,1,11-Jan,40.46822776,-79.99978971
"100 BLOCK LELIA ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2018,11,2,Mount Washington,4,19,42003191500,5,3,27-Apr,40.42181356,-80.01162973
"100 BLOCK LONDON TOWNE DR PITTSBURGH, PA 15226",1,0,0,0,1,0,2020,3,4,Brookline,4,19,42003191700,5,6,26-Apr,40.41002511,-80.00835303
"<100 BLOCK LORNA WAY PITTSBURGH, PA 15210",1,0,0,1,0,0,2020,1,6,Knoxville,3,30,42003300100,5,3,7-Apr,40.41272356,-79.99116922
